FID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GISJOIN,Shape_Leng,Shape_Area,GISJOIN_1,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AH36E001,AH36E002,AH36E003,AH37E001,AH37E002,AH37E003,AH4HE001,AH4HE002,AH4HE003,AH4HE004,AH4HE005,AH4HE006,AH4HE007,AH4HE008,AH5JE001,AH5JE002,AH5JE003,AH5JE004,AH5JE005,AH5JE006,AH5JE007,AH5JE008,AH5JE009,AH5JE010,AH5JE011,AH5JE012,AH5JE013,AH5JE014,AH5JE015,AH5JE016,AH5JE017,AH5JE018,AH5JE019,AH5JE020,AH5JE021,AH5JE022,AH5JE023,AH5JE024,AH5JE025,AH5JE026,AH5JE027,AH5LE001,AH5QE001,AH5QE002,AH5QE003,AH5QE004,AH5QE005,AH5QE006,AH5QE007,AH5QE008,AH5QE009,AH5QE010,AH5QE011,AH5QE012,AH5QE013,AH5QE014,AH5QE015,AH5QE016,AH5QE017,AH5QE018,AH5QE019,AH5QE020,AH5QE021,AH5QE022,AH5QE023,AH5QE024,AH5QE025,AH5QE026,AH5QE027,AH5RE001,AH5SE001,AH5XE001,AH5XE002,AH5XE003,AH5XE004,AH5XE005,AH5XE006,AH5XE007,AH5XE008,AH5XE009,AH5XE010,AH5XE011,AH5YE001,AH51E001,AH51E002,AH51E003,AH51E004,AH51E005,AH51E006,AH51E007,AH51E008,AH51E009,AH51E010,AH51E011,AH51E012,AH51E013,AH51E014,AH51E015,AH51E016,AH51E017,AH51E018,AH51E019,AH51E020,AH51E021,AH51E022,AH51E023,AH51E024,AH51E025,AH51E026,AH51E027,AH53E001,AH6CE001,AH6CE002,AH6CE003,AH6CE004,AH6CE005,AH6CE006,AH6CE007,AH6CE008,AH6CE009,AH6CE010,AH6CE011,AH6CE012,AH6CE013,AH6CE014,AH6CE015,AH6CE016,AH6CE017,AH6CE018,AH6CE019,AH6CE020,AH6CE021,AH6CE022,AH6CE023,AH6CE024,AH6CE025,AH6CE026,AH6CE027,AH6CE028,AH6CE029,AH6CE030,AH6CE031,AH6CE032,AH6CE033,AH6CE034,AH6CE035,AH6CE036,AH6CE037,AH6CE038,AH6CE039,AH6DE001,AH6DE002,AH6DE003,AH6FE001,AH6FE002,AH6FE003,AH6FE004,AH6FE005,AH6FE006,AH6FE007,AH6FE008,AH6FE009,AH6FE010,AH6FE011,AH6FE012,AH6FE013,AH6FE014,AH6FE015,AH6FE016,AH6FE017,AH6FE018,AH6FE019,AH6FE020,AH6FE021,AH6FE022,AH6FE023,AH6GE001,AH6GE002,AH6GE003,NAME_M,AH36M001,AH36M002,AH36M003,AH37M001,AH37M002,AH37M003,AH4HM001,AH4HM002,AH4HM003,AH4HM004,AH4HM005,AH4HM006,AH4HM007,AH4HM008,AH5JM001,AH5JM002,AH5JM003,AH5JM004,AH5JM005,AH5JM006,AH5JM007,AH5JM008,AH5JM009,AH5JM010,AH5JM011,AH5JM012,AH5JM013,AH5JM014,AH5JM015,AH5JM016,AH5JM017,AH5JM018,AH5JM019,AH5JM020,AH5JM021,AH5JM022,AH5JM023,AH5JM024,AH5JM025,AH5JM026,AH5JM027,AH5LM001,AH5QM001,AH5QM002,AH5QM003,AH5QM004,AH5QM005,AH5QM006,AH5QM007,AH5QM008,AH5QM009,AH5QM010,AH5QM011,AH5QM012,AH5QM013,AH5QM014,AH5QM015,AH5QM016,AH5QM017,AH5QM018,AH5QM019,AH5QM020,AH5QM021,AH5QM022,AH5QM023,AH5QM024,AH5QM025,AH5QM026,AH5QM027,AH5RM001,AH5SM001,AH5XM001,AH5XM002,AH5XM003,AH5XM004,AH5XM005,AH5XM006,AH5XM007,AH5XM008,AH5XM009,AH5XM010,AH5XM011,AH5YM001,AH51M001,AH51M002,AH51M003,AH51M004,AH51M005,AH51M006,AH51M007,AH51M008,AH51M009,AH51M010,AH51M011,AH51M012,AH51M013,AH51M014,AH51M015,AH51M016,AH51M017,AH51M018,AH51M019,AH51M020,AH51M021,AH51M022,AH51M023,AH51M024,AH51M025,AH51M026,AH51M027,AH53M001,AH6CM001,AH6CM002,AH6CM003,AH6CM004,AH6CM005,AH6CM006,AH6CM007,AH6CM008,AH6CM009,AH6CM010,AH6CM011,AH6CM012,AH6CM013,AH6CM014,AH6CM015,AH6CM016,AH6CM017,AH6CM018,AH6CM019,AH6CM020,AH6CM021,AH6CM022,AH6CM023,AH6CM024,AH6CM025,AH6CM026,AH6CM027,AH6CM028,AH6CM029,AH6CM030,AH6CM031,AH6CM032,AH6CM033,AH6CM034,AH6CM035,AH6CM036,AH6CM037,AH6CM038,AH6CM039,AH6DM001,AH6DM002,AH6DM003,AH6FM001,AH6FM002,AH6FM003,AH6FM004,AH6FM005,AH6FM006,AH6FM007,AH6FM008,AH6FM009,AH6FM010,AH6FM011,AH6FM012,AH6FM013,AH6FM014,AH6FM015,AH6FM016,AH6FM017,AH6FM018,AH6FM019,AH6FM020,AH6FM021,AH6FM022,AH6FM023,AH6GM001,AH6GM002,AH6GM003,Per_Vacant,UNIQUE_ID
0,26,163,500100,1,2.61635E+11,Block Group 1,G5030,S,474566,0,42.4482488,-82.9498174,G26016305001001,3266.908271,474566.0316,G26016305001001,2013-2017, , ,Michigan,26,Wayne County,163, , ,500100,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5001, Wayne County, Michigan",714,582,132,582,269,313,132,0,0,18,0,0,0,114,313,300,0,0,0,0,0,0,0,23,0,0,83,57,29,10,25,56,0,17,0,0,0,0,0,0,13,639,313,300,0,0,0,0,0,0,0,0,0,0,0,0,23,0,18,56,94,83,26,0,0,0,0,0,13,956,296000,313,0,10,20,10,62,32,50,45,71,13,36.6,269,19,0,19,0,14,77,53,20,11,16,0,10,12,0,0,0,0,0,13,5,0,0,0,0,0,0,35500,269,180,0,0,0,0,0,24,12,25,19,59,18,18,0,5,0,0,0,89,0,0,0,10,13,0,9,42,0,6,9,0,0,0,0,0,0,0,0,838,1042,430,269,180,0,24,23,67,14,21,0,26,5,0,89,32,38,19,0,0,0,0,0,0,0,19.8,23.2,11.6,"Block Group 1, Census Tract 5001, Wayne County, Michigan",110,105,81,105,94,98,81,10,10,29,10,10,10,76,98,96,10,10,10,10,10,10,10,35,10,10,60,52,34,17,31,44,10,28,10,10,10,10,10,10,14,56,98,96,10,10,10,10,10,10,10,10,10,10,10,10,35,10,29,47,69,53,27,10,10,10,10,10,14,54,96281,98,10,16,30,17,50,43,47,38,54,14,6.4,94,23,10,23,10,21,64,48,30,18,19,10,17,18,10,10,10,10,10,19,8,10,10,10,10,10,10,3907,94,86,10,10,10,10,10,38,18,27,28,51,22,21,10,8,10,10,10,58,10,10,10,17,20,10,15,47,10,10,15,10,10,10,10,10,10,10,10,234,170,75,94,86,10,23,29,56,21,35,10,27,9,10,58,31,48,22,10,10,10,10,10,10,10,5.2,2.8,3.4,18.48739496,0
1,26,163,500100,2,2.61635E+11,Block Group 2,G5030,S,290456,0,42.443593,-82.9487847,G26016305001002,2581.076257,290456.5681,G26016305001002,2013-2017, , ,Michigan,26,Wayne County,163, , ,500100,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5001, Wayne County, Michigan",363,282,81,282,59,223,81,24,0,0,0,0,0,57,223,223,0,0,0,0,0,0,0,26,0,5,33,39,28,21,64,7,0,0,0,0,0,0,0,0,0,665,223,223,0,0,0,0,0,0,0,0,0,0,7,0,21,26,19,49,41,60,0,0,0,0,0,0,0,879,201300,223,0,0,30,0,0,43,0,43,107,0,49,59,0,14,0,0,10,12,0,0,11,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,32300,59,34,0,0,0,0,0,0,0,0,10,24,0,0,0,0,0,0,0,25,0,0,14,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,945,1073,0,59,34,0,10,12,0,12,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,12.3,17.9,0,"Block Group 2, Census Tract 5001, Wayne County, Michigan",98,89,64,89,45,87,64,36,10,10,10,10,10,53,87,87,10,10,10,10,10,10,10,37,10,9,44,43,34,33,49,12,10,10,10,10,10,10,10,10,10,78,87,87,10,10,10,10,10,10,10,10,10,10,12,10,26,37,27,55,45,57,10,10,10,10,10,10,10,103,82305,87,10,10,31,10,10,36,10,48,60,10,14.1,45,10,22,10,10,14,20,10,10,18,10,10,10,19,10,10,10,10,10,10,10,10,10,10,10,10,10,27970,45,33,10,10,10,10,10,10,10,10,14,28,10,10,10,10,10,10,10,27,10,10,22,10,10,10,10,10,18,10,10,10,10,10,10,10,10,10,10,692,104,0,45,33,10,14,20,10,19,10,10,10,10,10,27,27,10,10,10,10,10,10,10,10,10,8.4,9.6,0,22.31404959,1
2,26,163,500100,3,2.61635E+11,Block Group 3,G5030,S,230980,0,42.4384492,-82.9535008,G26016305001003,1969.716928,230979.7104,G26016305001003,2013-2017, , ,Michigan,26,Wayne County,163, , ,500100,3, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5001, Wayne County, Michigan",492,346,146,346,126,220,146,0,0,0,0,0,0,146,220,182,0,0,0,0,0,0,0,0,29,69,18,0,0,32,34,0,0,0,0,0,0,0,0,0,38,545,220,182,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,53,47,66,0,0,0,0,0,0,38,947,166300,220,0,0,34,16,27,0,0,77,28,38,41.8,126,8,57,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,126,76,0,0,0,0,0,0,0,56,20,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,42,0,8,0,0,0,0,0,0,0,0,0,0,823,868,380,126,76,0,0,20,32,0,24,0,0,0,0,50,0,20,8,0,0,9,13,0,0,0,22.3,22.8,18.1,"Block Group 3, Census Tract 5001, Wayne County, Michigan",118,123,89,123,86,106,89,10,10,10,10,10,10,89,106,106,10,10,10,10,10,10,10,10,44,58,32,10,10,51,50,10,10,10,10,10,10,10,10,10,46,130,106,106,10,10,10,10,10,10,10,10,10,10,26,10,10,10,10,52,52,70,10,10,10,10,10,10,46,106,100584,106,10,10,50,26,43,10,10,73,35,46,19.4,86,13,57,10,10,60,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,10,10,10,10,0,86,72,10,10,10,10,10,10,10,64,32,10,10,10,10,10,10,10,10,42,10,10,10,10,10,10,40,10,13,10,10,10,10,10,10,10,10,10,10,395,45,11,86,72,10,10,32,51,10,39,10,10,10,10,42,10,31,13,10,10,13,21,10,10,10,11.5,7.3,28.9,29.67479675,2
3,26,163,500100,4,2.61635E+11,Block Group 4,G5030,S,206376,0,42.4433528,-82.9535775,G26016305001004,1831.907741,206376.088,G26016305001004,2013-2017, , ,Michigan,26,Wayne County,163, , ,500100,4, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5001, Wayne County, Michigan",248,209,39,209,55,154,39,16,0,0,0,0,0,23,154,154,0,0,0,0,0,0,0,10,0,50,0,32,18,14,30,0,0,0,0,0,0,0,0,0,0,627,154,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,20,103,0,0,0,0,0,0,0,1063,158600,154,0,0,14,0,31,49,18,20,22,0,33.3,55,0,11,8,6,0,11,7,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,31100,55,25,0,0,0,0,0,0,0,0,18,7,0,0,0,0,0,0,0,30,0,0,0,0,0,8,0,11,0,5,6,0,0,0,0,0,0,0,0,758,969,464,55,25,0,0,0,11,0,0,0,0,14,0,30,0,8,0,11,11,0,0,0,0,0,24.4,50,23.2,"Block Group 4, Census Tract 5001, Wayne County, Michigan",82,75,44,75,34,77,44,24,10,10,10,10,10,36,77,77,10,10,10,10,10,10,10,16,10,56,10,39,28,23,46,10,10,10,10,10,10,10,10,10,10,116,77,77,10,10,10,10,10,10,10,10,10,10,10,10,10,10,18,31,34,70,10,10,10,10,10,10,10,91,81156,77,10,10,23,10,46,54,28,34,24,10,4.4,34,10,16,12,11,10,18,12,8,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,18158,34,24,10,10,10,10,10,10,10,10,21,12,10,10,10,10,10,10,10,25,10,10,10,10,10,12,10,16,10,8,11,10,10,10,10,10,10,10,10,373,73,279,34,24,10,10,10,18,10,10,10,10,17,10,25,10,12,10,16,14,10,10,10,10,10,11.6,0,5.8,15.72580645,3
4,26,163,500200,1,2.61635E+11,Block Group 1,G5030,S,243420,0,42.4481987,-82.959887,G26016305002001,2013.766844,243418.1098,G26016305002001,2013-2017, , ,Michigan,26,Wayne County,163, , ,500200,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5002, Wayne County, Michigan",281,219,62,219,136,83,62,23,0,0,15,0,0,24,83,83,0,0,0,0,0,0,0,0,0,17,0,20,22,0,15,0,0,9,0,0,0,0,0,0,0,660,83,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,57,0,9,0,0,0,0,0,1107,95000,83,0,0,0,0,20,39,15,0,9,0,32.8,136,0,0,0,12,37,0,18,13,11,23,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,0,40800,136,101,0,0,0,0,0,0,0,0,18,44,16,23,0,0,0,0,0,35,0,0,0,0,0,10,0,0,8,10,7,0,0,0,0,0,0,0,0,1085,1185,594,136,101,6,7,45,19,0,12,0,0,12,0,35,0,27,0,8,0,0,0,0,0,0,18.1,19.2,13.2,"Block Group 1, Census Tract 5002, Wayne County, Michigan",72,63,55,63,45,55,55,36,10,10,24,10,10,36,55,55,10,10,10,10,10,10,10,10,10,29,10,33,36,10,22,10,10,15,10,10,10,10,10,10,10,73,55,55,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,29,10,48,10,15,10,10,10,10,10,81,61909,55,10,10,10,10,33,45,22,10,15,10,3.4,45,10,10,10,18,39,10,19,16,17,23,10,10,10,10,18,16,10,10,10,10,10,10,10,10,10,10,18847,45,46,10,10,10,10,10,10,10,10,29,37,20,25,10,10,10,10,10,26,10,10,10,10,10,16,10,10,13,14,10,10,10,10,10,10,10,10,10,174,158,217,45,46,11,11,35,28,10,18,10,10,18,10,26,10,24,10,13,10,10,10,10,10,10,3,3,4.1,22.06405694,4
5,26,163,500200,2,2.61635E+11,Block Group 2,G5030,S,243113,0,42.4445962,-82.959735,G26016305002002,2012.086224,243113.3051,G26016305002002,2013-2017, , ,Michigan,26,Wayne County,163, , ,500200,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5002, Wayne County, Michigan",350,229,121,229,45,184,121,42,0,18,0,0,0,61,184,174,0,0,26,0,0,0,0,7,23,8,0,20,26,22,0,42,0,0,0,0,0,0,0,0,10,656,184,174,0,0,0,0,0,0,0,7,0,0,0,26,8,23,0,0,0,68,42,0,0,0,0,0,10,1085,171400,184,7,23,68,0,23,19,0,0,8,36,18.2,45,0,0,0,10,0,0,0,0,8,0,0,8,0,0,0,11,0,0,0,0,0,8,0,0,0,0,0,45,18,0,0,0,0,0,0,0,0,0,0,10,0,0,0,8,0,0,27,0,0,0,0,0,8,0,0,0,0,11,0,0,0,0,8,0,0,0,1109,0,750,45,18,0,0,0,0,10,0,0,0,8,0,27,19,0,0,0,0,0,0,8,0,0,26.8,0,10,"Block Group 2, Census Tract 5002, Wayne County, Michigan",102,94,64,94,30,91,64,44,10,28,10,10,10,44,91,92,10,10,41,10,10,10,10,12,37,15,10,31,41,35,10,46,10,10,10,10,10,10,10,10,16,153,91,92,10,10,10,10,10,10,10,12,10,10,10,41,15,37,10,10,10,61,46,10,10,10,10,10,16,333,96189,91,12,38,61,10,37,25,10,10,15,43,6.9,30,10,10,10,16,10,10,10,10,13,10,10,13,10,10,10,18,10,10,10,10,10,13,10,10,10,10,0,30,20,10,10,10,10,10,10,10,10,10,10,16,10,10,10,13,10,10,22,10,10,10,10,10,13,10,10,10,10,18,10,10,10,10,13,10,10,10,668,0,728,30,20,10,10,10,10,16,10,10,10,13,10,22,22,10,10,10,10,10,10,13,10,10,35.4,0,0,34.57142857,5
6,26,163,500200,3,2.61635E+11,Block Group 3,G5030,S,211543,0,42.4439389,-82.9676482,G26016305002003,2039.868578,211542.5115,G26016305002003,2013-2017, , ,Michigan,26,Wayne County,163, , ,500200,3, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 3, Census Tract 5002, Wayne County, Michigan",285,223,62,223,87,136,62,0,0,21,0,0,0,41,136,136,0,0,0,0,0,0,0,0,0,24,0,0,10,32,44,17,9,0,0,0,0,0,0,0,0,752,136,136,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,0,0,112,0,0,0,0,0,0,0,1098,146500,136,0,0,38,9,10,24,13,25,17,0,32.3,87,12,0,18,11,0,6,0,8,11,0,0,7,0,0,0,0,0,10,0,4,0,0,0,0,0,0,32100,87,24,0,0,0,0,0,10,0,0,14,0,0,0,0,0,0,0,0,63,0,0,0,11,0,0,18,23,0,0,11,0,0,0,0,0,0,0,0,463,914,411,87,24,0,0,0,10,8,6,0,0,0,0,63,49,0,3,0,7,0,0,0,4,0,10,26.3,10,"Block Group 3, Census Tract 5002, Wayne County, Michigan",79,73,54,73,44,72,54,10,10,31,10,10,10,44,72,72,10,10,10,10,10,10,10,10,10,29,10,10,16,47,42,25,14,10,10,10,10,10,10,10,10,44,72,72,10,10,10,10,10,10,10,10,10,10,10,10,10,15,28,10,10,69,10,10,10,10,10,10,10,41,80867,72,10,10,52,14,16,35,20,28,25,10,11.5,44,17,10,27,18,10,10,10,13,16,10,10,11,10,10,10,10,10,17,10,8,10,10,10,10,10,10,31964,44,23,10,10,10,10,10,17,10,10,15,10,10,10,10,10,10,10,10,39,10,10,10,18,10,10,27,24,10,10,14,10,10,10,10,10,10,10,10,184,382,70,44,23,10,10,10,17,13,10,10,10,10,10,39,39,10,8,10,11,10,10,10,8,10,0,6.1,0,21.75438596,6
7,26,163,500200,4,2.61635E+11,Block Group 4,G5030,S,241702,0,42.4474175,-82.9665867,G26016305002004,2034.032536,241704.5416,G26016305002004,2013-2017, , ,Michigan,26,Wayne County,163, , ,500200,4, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 4, Census Tract 5002, Wayne County, Michigan",351,331,20,331,197,134,20,0,0,0,0,0,0,20,134,124,0,0,0,0,0,0,0,0,0,12,22,34,25,31,0,0,0,0,0,0,0,0,0,0,10,641,134,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,10,47,9,0,0,0,0,0,10,940,120100,134,0,0,0,41,34,0,18,0,31,10,28.1,197,0,21,10,0,23,15,20,34,25,8,0,0,0,0,24,8,9,0,0,0,0,0,0,0,0,0,42800,197,89,0,0,0,0,11,31,0,10,15,9,0,13,0,0,0,0,0,108,0,0,0,8,0,0,23,69,0,8,0,0,0,0,0,0,0,0,0,498,825,433,197,89,21,31,0,15,0,0,9,0,13,0,108,28,33,0,0,0,24,23,0,0,0,13.9,13.8,13.9,"Block Group 4, Census Tract 5002, Wayne County, Michigan",85,86,33,86,75,67,33,10,10,10,10,10,10,33,67,65,10,10,10,10,10,10,10,10,10,21,34,40,29,38,10,10,10,10,10,10,10,10,10,10,16,49,67,65,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,46,19,44,14,10,10,10,10,10,16,182,63735,67,10,10,10,42,40,10,28,10,39,16,11,75,10,23,15,10,36,22,34,36,37,13,10,10,10,10,36,14,14,10,10,10,10,10,10,10,10,10,14443,75,51,10,10,10,10,16,36,10,15,22,14,10,18,10,10,10,10,10,65,10,10,10,13,10,10,36,58,10,14,10,10,10,10,10,10,10,10,10,179,327,37,75,51,23,36,10,22,10,10,14,10,18,10,65,37,38,10,10,10,36,36,10,10,10,10.2,10.6,26.7,5.698005698,7
8,26,163,500300,1,2.61635E+11,Block Group 1,G5030,S,405286,0,42.4403505,-82.9611613,G26016305003001,3018.428973,405285.5867,G26016305003001,2013-2017, , ,Michigan,26,Wayne County,163, , ,500300,1, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 1, Census Tract 5003, Wayne County, Michigan",273,195,78,195,53,142,78,0,0,13,0,0,0,65,142,125,0,0,0,0,0,0,0,0,0,9,51,0,26,24,0,13,2,0,0,0,0,0,0,0,17,655,142,125,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,24,23,61,0,0,0,0,0,0,17,993,118900,142,0,0,17,0,22,0,19,37,30,17,41.2,53,5,12,2,12,5,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,53,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,38,0,0,0,0,11,0,0,12,5,5,0,5,0,0,0,0,0,0,0,570,0,467,53,15,0,0,0,7,3,0,0,5,0,0,38,10,4,12,5,2,0,0,5,0,0,20.2,25.8,17.1,"Block Group 1, Census Tract 5003, Wayne County, Michigan",74,66,43,66,26,62,43,10,10,22,10,10,10,38,62,63,10,10,10,10,10,10,10,10,10,14,45,10,32,34,10,20,3,10,10,10,10,10,10,10,19,134,62,63,10,10,10,10,10,10,10,10,10,10,25,10,10,10,10,29,29,47,10,10,10,10,10,10,19,134,61150,62,10,10,25,10,31,10,24,39,30,19,8.6,26,9,18,4,11,7,10,10,10,10,7,11,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,0,26,14,10,10,10,10,10,10,10,10,10,14,10,10,10,10,10,10,10,24,10,10,10,10,10,10,10,18,10,9,10,8,10,10,10,10,10,10,10,313,0,145,26,14,10,10,10,11,5,10,10,7,10,10,24,12,6,18,8,4,10,10,9,10,10,4.8,16.4,7.1,28.57142857,8
9,26,163,500300,2,2.61635E+11,Block Group 2,G5030,S,321801,0,42.436297,-82.9654805,G26016305003002,3366.591041,321801.6937,G26016305003002,2013-2017, , ,Michigan,26,Wayne County,163, , ,500300,2, , , , , , , , , , , , , , , , , , , , , , , , ,"Block Group 2, Census Tract 5003, Wayne County, Michigan",404,295,109,295,73,222,109,21,0,0,0,0,0,88,222,205,0,0,0,0,0,0,12,12,0,79,49,4,33,0,9,7,0,0,0,0,0,0,0,0,17,550,222,205,0,0,0,0,0,0,0,0,0,0,12,0,0,12,6,114,0,61,0,0,0,0,0,0,17,864,185200,222,0,31,11,12,50,18,0,27,56,17,29.9,73,23,0,0,0,7,3,0,10,9,12,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,43500,73,16,0,0,0,0,0,0,0,0,0,3,9,4,0,0,0,0,0,57,0,0,10,5,12,7,7,4,9,0,0,0,3,0,0,0,0,0,0,368,1389,311,73,16,0,0,3,0,0,0,0,5,8,0,57,6,33,15,0,0,0,0,0,3,0,14.6,50,13.4,"Block Group 2, Census Tract 5003, Wayne County, Michigan",76,75,51,75,32,72,51,23,10,10,10,10,10,43,72,71,10,10,10,10,10,10,19,19,10,55,39,7,38,10,15,11,10,10,10,10,10,10,10,10,21,35,72,71,10,10,10,10,10,10,10,10,10,10,19,10,10,19,10,65,10,46,10,10,10,10,10,10,21,28,64112,72,10,39,17,19,38,21,10,30,43,21,10.5,32,20,10,10,10,10,6,10,14,11,16,10,10,10,9,10,10,10,7,10,10,10,10,10,10,10,10,22137,32,15,10,10,10,10,10,10,10,10,10,8,11,7,10,10,10,10,10,30,10,10,14,8,16,10,12,6,12,10,10,10,5,10,10,10,10,10,10,130,158,82,32,15,10,10,8,10,10,10,10,9,10,10,30,11,23,16,10,10,10,10,10,5,10,3.2,19.3,2,26.98019802,9
